origin,destination,departure_date,collection_date,advance_window_days,total_fare_inr,base_fare_inr,taxes_inr,udf_inr,convenience_fee_inr,carrier,flight_number,depart_time_local,fare_class,source_portal
BLR,DEL,2026-10-08,2026-09-08,30,8714.0,7217.0,1497.0,,,QP,QP1359,05:00,EC,akasa
BLR,DEL,2026-10-08,2026-09-08,30,9115.0,7598.0,1517.0,,,QP,QP1359,05:00,AV,akasa
BLR,DEL,2026-10-08,2026-09-08,30,8714.0,7217.0,1497.0,,,QP,QP1823,06:05,EC,akasa
BLR,DEL,2026-10-08,2026-09-08,30,9115.0,7598.0,1517.0,,,QP,QP1823,06:05,AV,akasa
BLR,DEL,2026-10-08,2026-09-08,30,8714.0,7217.0,1497.0,,,QP,QP1821,13:05,EC,akasa
BLR,DEL,2026-10-08,2026-09-08,30,9115.0,7598.0,1517.0,,,QP,QP1821,13:05,AV,akasa
BLR,DEL,2026-10-23,2026-09-08,45,10150.0,8583.0,1567.0,,,QP,QP1811,03:55,EC,akasa
BLR,DEL,2026-10-23,2026-09-08,45,10549.0,8964.0,1585.0,,,QP,QP1811,03:55,AV,akasa
BLR,DEL,2026-10-23,2026-09-08,45,10150.0,8583.0,1567.0,,,QP,QP1359,05:00,EC,akasa
BLR,DEL,2026-10-23,2026-09-08,45,10549.0,8964.0,1585.0,,,QP,QP1359,05:00,AV,akasa
BLR,DEL,2026-10-23,2026-09-08,45,10150.0,8583.0,1567.0,,,QP,QP1571,05:30,EC,akasa
BLR,DEL,2026-10-23,2026-09-08,45,10549.0,8964.0,1585.0,,,QP,QP1571,05:30,AV,akasa
BLR,DEL,2026-10-23,2026-09-08,45,10150.0,8583.0,1567.0,,,QP,QP1823,06:05,EC,akasa
BLR,DEL,2026-10-23,2026-09-08,45,10549.0,8964.0,1585.0,,,QP,QP1823,06:05,AV,akasa
BLR,DEL,2026-10-23,2026-09-08,45,11488.0,9859.0,1629.0,,,QP,QP1821,13:05,EC,akasa
BLR,DEL,2026-10-23,2026-09-08,45,11889.0,10240.0,1649.0,,,QP,QP1821,13:05,AV,akasa
BLR,HYD,2026-09-09,2026-09-08,1,17033.0,14904.0,2129.0,,,QP,QP1811,04:10,EC,akasa
BLR,HYD,2026-09-09,2026-09-08,1,17833.0,15666.0,2167.0,,,QP,QP1811,04:10,AV,akasa
